Timbalan Yang di-Pertua (Puan Alice Lau Kiong Yieng),Lanang
Tuan Wong Chen,Subang
Timbalan Menteri Ekonomi (Dato Hajjah Hanifah Hajar Taib),Mukah
Puan Hajah Salamiah binti Mohd Nor,Temerloh
Tuan Afnan Hamimi bin Dato' Haji Taib Azamudden,Alor Setar
Menteri Belia dan Sukan (Puan Hannah Yeoh),Segambut
Dato' Mohd Isam bin Mohd Isa,Tampin
Datuk Seri Ir. Dr. Wee Ka Siong,Ayer Hitam
Timbalan Menteri Sumber Manusia (Dato' Sri Haji Abdul Rahman bin Mohamad),Lipis
Tuan Nurul Amin bin Hamid,Padang Terap
Datuk Seri Dr. Ronald Kiandee,Beluran
Timbalan Menteri Pertanian dan Keterjaminan Makanan (Datuk Arthur Joseph Kurup),Pensiangan
Tuan Hassan bin Abdul Karim,Pasir Gudang
Tuan Cha Kee Chin,Rasah
Datuk Seri Panglima Haji Mohd Shafie bin Haji Apdal,Semporna
Timbalan Menteri Kerja Raya (Datuk Seri Haji Ahmad bin Haji Maslan),Pontian
Tuan Haji Abdul Latiff bin Abdul Rahman,Kuala Krai
Dato Dr. Richard Rapu @ Aman anak Begri,Betong
Timbalan Menteri Perumahan dan Kerajaan Tempatan (Datuk Hajah Aiman Athirah binti Sabu),Sepang
Dato' Sri Dr. Haji Ismail bin Haji Abd. Muttalib,Maran
Tuan Kamal bin Ashaari,Kuala Krau
Timbalan Menteri Kemajuan Desa dan Wilayah (Datuk Hajah Rubiah binti Haji Wang),Kota Samarahan
Dato' Indera Mohd Shahar bin Abdullah,Paya Besar
Puan Syerleena binti Abdul Rashid,Bukit Bendera
Timbalan Menteri Pelaburan, Perdagangan dan Industri (Tuan Liew Chin Tong),Iskandar Puteri
Dato' Wira Dr. Ku Abd Rahman bin Ku Ismail,Kubang Pasu
Tuan Haji Mohd Hasnizan bin Harun,Hulu Selangor
Timbalan Menteri Kesihatan (Dato Lukanisman bin Awang Sauni),Sibuti
Tuan Haji Onn bin Abu Bakar,Batu Pahat
Tuan Rushdan bin Rusmi,Padang Besar
Timbalan Menteri Komunikasi (Puan Teo Nie Ching),Kulai
Dr. Mohammed Taufiq bin Johari,Sungai Petani
Timbalan Yang di-Pertua (Dato' Dr. Ramli bin Dato' Mohd Nor),Cameron Highlands
Tuan Chiew Choon Man,Miri
Tuan Lim Guan Eng,Bagan
Tuan Khoo Poay Tiong,Kota Melaka
Tuan William Leong Jee Keen,Selayang
Dato' Sri Saifuddin Abdullah,Indera Mahkota
Dato' Hajah Siti Zailah binti Mohd. Yusoff,Rantau Panjang
Tuan Haji Mohd Syahir bin Che Sulaiman,Bachok
Dato' Sri Doris Sophia Anak Brodi,Sri Aman
Datuk Wira Hajah Mas Ermieyati binti Haji Samsudin,Masjid Tanah
Datuk Seri Panglima Bung Moktar bin Radin,Kinabatangan
Datuk Che Mohamad Zulkifly bin Jusoh,Besut
Tuan Sanisvara Nethaji Rayer a/l Rajaji,Jelutong
Dato' Ngeh Koo Ham,Beruas
Dr. Hajah Halimah Ali,Kapar
Tuan Chong Zhemin,Kampar
Tuan Syed Saddiq bin Syed Abdul Rahman,Muar
Dato' Rosol bin Wahid,Hulu Terengganu
Datuk Dr. Nik Muhammad Zawawi bin Haji Salleh,Pasir Puteh
Tuan Haji Jamaludin bin Yahya,Pasir Salak
Dato' Azman bin Nasrudin,Padang Serai
Tuan Haji Muhammad Fawwaz bin Mohamad Jan,Permatang Pauh
Puan Wong Shu Qi,Kluang
Tuan Ganabatirau a/l Veraman,Klang
Tuan Ramkarpal Singh a/l Karpal Singh,Bukit Gelugor
Tuan Oscar Ling Chai Yew,Sibu
Tuan Mordi Bimol,Mas Gading
Tuan Haji Muhammad Ismi bin Mat Taib,Parit
Tuan Mohd Sany bin Hamzan,Hulu Langat
Tuan Jimmy Puah Wee Tse,Tebrau
Tuan Haji Mohd Misbahul Munir bin Masduki,Parit Buntar
Dr. Haji Abd Ghani bin Haji Ahmad,Jerlun
