Dato' Adnan bin Abu Hassan,Kuala Pilah
Timbalan Menteri Sumber Manusia [Dato' Sri Abdul Rahman bin Haji Mohamad],Timbalan Menteri Sumber Manusia
Datuk Haji Awang bin Hashim,Pendang
Datuk Wetrom bin Bahanda,Kota Marudu
Timbalan Menteri Kerja Raya [Datuk Seri Haji Ahmad bin Haji Maslan],Timbalan Menteri Kerja Raya
Tuan Shaharizukirnain bin Abd Kadir,Setiu
Tuan Hassan bin Saad,Baling
Timbalan Menteri Pertanian dan Keterjaminan Makanan [Datuk Arthur Joseph Kurup],Timbalan Menteri Pertanian dan Keterjaminan Makanan
Dato’ Mohd Isam bin Mohd Isa,Tampin
Tuan Suhaizan bin Kaiat,Pulai
Timbalan Menteri Kesihatan [Dato Lukanisman bin Awang Sauni],Timbalan Menteri Kesihatan
Dato' Dr. Haji Alias bin Razak,Kuala Nerus
Tuan Ir. Haji Yusuf bin Abd Wahab,Tanjong Manis
Timbalan Menteri Pelaburan, Perdagangan dan Industri [Tuan Liew Chin Tong],Timbalan Menteri Pelaburan, Perdagangan dan Industri
Tuan Rushdan bin Rusmi,Padang Besar
Tuan Mohd Azizi bin Abu Naim,Gua Musang
Timbalan Menteri Perumahan dan Kerajaan Tempatan [Datuk Hajah Raj Munni binti Sabu],Timbalan Menteri Perumahan dan Kerajaan Tempatan
Tuan Haji Onn bin Abu Bakar,Batu Pahat
Tuan Riduan bin Rubin,Tenom
Menteri Ekonomi [Dato’ Seri Mohd Rafizi bin Ramli],Menteri Ekonomi
Dato’ Indera Mohd Shahar bin Abdullah,Paya Besar
Tuan Mohd Nazri bin Abu Hassan,Merbok
Datuk Wan Saifulruddin bin Wan Jan,Tasek Gelugor
Timbalan Menteri Komunikasi [Puan Teo Nie Ching],Timbalan Menteri Komunikasi
Tuan Syed Ibrahim bin Syed Noh,Ledang
Puan Isnaraissah Munirah binti Majilis @ Fakharudy,Kota Belud
Tuan Nurul Amin bin Hamid,Padang Terap
Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi) [Tuan M. Kulasegaran a/l Murugeson],Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi)
Menteri Kewangan (II) [Datuk Seri Amir Hamzah Azizan],Menteri Kewangan (II)
Timbalan Menteri Kewangan [Puan Lim Hui Ying],Timbalan Menteri Kewangan
Tuan Lim Guan Eng,Bagan
Tuan Haji Mohd Syahir bin Che Sulaiman,Bachok
Tuan Lee Chean Chung,Petaling Jaya
Timbalan Yang di-Pertua (Puan Alice Lau Kiong Yieng),Pengerusi Mesyuarat
Tuan Cha Kee Chin,Rasah
Dato' Wira Dr. Ku Abd Rahman bin Ku Ismail,Kubang Pasu
Puan Hajah Rodziah binti Ismail,Ampang
Dato’ Seri Dr. Shahidan bin Kassim,Arau
Datuk Seri Panglima Dr. Jeffrey G. Kitingan,Keningau
Datuk Dr. Radzi bin Jidin,Putrajaya
Tuan Sim Tze Tzin,Bayan Baru
Timbalan Yang di-Pertua (Dato’ Dr. Ramli bin Dato’ Mohd Nor),Pengerusi Mesyuarat
Tuan Chong Zhemin,Kampar
Kapten Azahari bin Hasan,Padang Rengas
Datuk Seri Panglima Madius bin Tangau,Tuaran
Dato’ Hajah Mumtaz binti Md Nawi,Tumpat
Dato’ Rosol bin Wahid,Hulu Terengganu
Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan) [Dr. Zaliha binti Mustafa],Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan)
Tuan Syahredzan bin Johan,Bangi
Dr. Haji Abd Ghani bin Haji Ahmad,Jerlun
Puan Vivian Wong Shir Yee,Sandakan
Puan Hajah Salamiah binti Mohd Nor,Temerloh
Tuan Hassan bin Abdul Karim,Pasir Gudang
Tuan Haji Bakri bin Jamaluddin,Tangga Batu
Datuk Idris bin Ahmad,Bagan Serai
Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup [Datuk Armizan bin Mohd Ali],Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup
Dato’ Sri Ikmal Hisham bin Abdul Aziz,Tanah Merah
Timbalan Menteri Pertahanan [Tuan Haji Adly bin Zahari],Timbalan Menteri Pertahanan
Tuan Roslan bin Hashim,Kulim-Bandar Baharu
Timbalan Menteri Pendidikan [Tuan Wong Kah Woh],Timbalan Menteri Pendidikan
Tuan Haji Wan Hassan bin Mohd Ramli,Dungun
Dr. Hajah Halimah Ali,Kapar
Timbalan Menteri Pendidikan Tinggi [Datuk Ts. Mustapha Sakmud],Timbalan Menteri Pendidikan Tinggi
Datuk Dr. Ahmad Marzuk bin Shaary,Pengkalan Chepa
