Ramli bin Dato' Mohd Nor,Timbalan Yang di-Pertua
Shaharizukirnain bin Abd Kadir,Setiu
Nik Nazmi bin Nik Ahmad,Menteri Sumber Asli dan Kelestarian Alam
Lee Chuan How,Ipoh Timor
Lee Chean Chung,Petaling Jaya
Saifuddin Nasution bin Ismail,Menteri Dalam Negeri
Siti Zailah binti Mohd Yusoff,Rantau Panjang
Rodziah binti Ismail,Ampang
Mohamad bin Sabu,Menteri Pertanian dan Keterjaminan Makanan
Jamaludin bin Yahya,Pasir Salak
Zulkafperi bin Hanapi,Tanjong Karang
Andi Muhammad Suryady bin Bandy,Kalabakan
Shamsul Anuar bin Haji Nasarah,Timbalan Menteri Dalam Negeri
Ahmad Marzuk bin Shaary,Pengkalan Chepa
Khairil Nizam bin Khirudin,Jerantut
Loke Siew Fook,Menteri Pengangkutan
Alice Lau Kiong Yieng,Timbalan Yang di-Pertua
Onn bin Abu Bakar,Batu Pahat
Fong Kui Lun,Bukit Bintang
Vivian Wong Shir Yee,Sandakan
Alexander Nanta Linggi,Menteri Kerja Raya
Abd Ghani bin Ahmad,Jerlun
Nik Muhammad Zawawi bin Salleh,Pasir Puteh
Richard Rapu @ Aman anak Begri,Betong
Ramkarpal Singh a/l Karpal Singh,Bukit Gelugor
Lim Hui Ying,Timbalan Menteri Kewangan
Roslan bin Hashim,Kulim-Bandar Baharu
Mohamad Shafizan Haji Kepli,Batang Lupar
Rubiah binti Haji Wang,Timbalan Menteri Kemajuan Desa dan Wilayah
Mumtaz binti Md Nawi,Tumpat
Alias bin Razak,Kuala Nerus
Lukanisman bin Awang Sauni,Timbalan Menteri Kesihatan
Verdon bin Bahanda,Kudat
Hanifah Hajar Taib,Timbalan Menteri Ekonomi
Johari bin Abdul,Yang di-Pertua
Awang bin Hashim,Pendang
Rushdan bin Rusmi,Padang Besar
Syed Ibrahim bin Syed Noh,Ledang
Nurul Amin bin Hamid,Padang Terap
M. Kulasegaran,Timbalan Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi)
Ugak anak Kumbong,Timbalan Menteri Digital
Wong Chen,Subang
Ahmad Amzad bin Mohamed @ Hashim,Kuala Terengganu
Zulkifli bin Hasan,Timbalan Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama)
Ahmad Fahmi bin Mohamed Fadzil,Menteri Komunikasi
Azalina binti Othman Said,Menteri di Jabatan Perdana Menteri (Undang-undang dan Reformasi Institusi)
Wan Hassan bin Mohd Ramli,Dungun
Hajah Rodziah binti Ismail,Ampang
Mohd Rafizi bin Ramli,Menteri Ekonomi
Mohd Shahar bin Abdullah,Paya Besar
Zaliha binti Mustafa,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan)
Adam Adli Abd Halim,Timbalan Menteri Belia dan Sukan
Saifuddin bin Abdullah,Indera Mahkota
Richard Rapu @ Aman anak Begri,Betong
Ahmad Marzuk bin Shaary,Pengkalan Chepa
Isnaraissah Munirah binti Majilis @ Fakharudy,Kota Belud
Che Mohamad Zulkifly bin Jusoh,Besut
Syerleena binti Abdul Rashid,Bukit Bendera
Azahari bin Hasan,Padang Rengas
Radzi bin Jidin,Putrajaya
Cha Kee Chin,Rasah
Ahmad Fadhli bin Shaari,Pasir Mas
Sanisvara Nethaji Rayer a/l Rajaji,Jelutong
Khoo Poay Tiong,Kota Melaka
Amir Hamzah Azizan,Menteri Kewangan (II)
Hasbi bin Haji Habibollah,Timbalan Menteri Pengangkutan
Lim Guan Eng,Bagan
Chong Zhemin,Kampar
Lo Su Fui,Tawau
Mordi anak Bimol,Mas Gading
Azli bin Yusof,Shah Alam
Wan Ahmad Fayhsal bin Wan Ahmad Kamal,Machang
Teresa Kok Suh Sim,Seputeh
Ngeh Koo Ham,Beruas
Wee Ka Siong,Ayer Hitam
