Present,Chang Lih Kang,Tanjong Malim
Present,Nik Nazmi bin Nik Ahmad,Setiawangsa
Present,Azalina Othman Said,Pengerang
Present,Armizan bin Mohd Ali,Papar
Present,Tiong King Sing,Bintulu
Present,Dzulkefly bin Ahmad,Kuala Selangor
Present,Sim Chee Keong,Bukit Mertajam
Present,Ahmad bin Haji Maslan,Pontian
Present,Akmal Nasrullah bin Haji Mohd Nasir,Johor Bahru
Present,Adly bin Zahari,Alor Gajah
Present,Abdul Rahman bin Mohamad,Lipis
Present,Shamsul Anuar bin Haji Nasarah,Lenggong
Present,Liew Chin Tong,Iskandar Puteri
Present,Ramli Dr. bin Dato' Mohd Nor,Cameron Highlands
Present,Alice Lau Kiong Yieng,Lanang
Present,Mohd Rafizi bin Ramli,Pandan
Present,Mohamad bin Haji Hasan,Rembau
Present,Ewon Benedick,Penampang
Present,Ahmad Fahmi bin Mohamed Fadzil,Lembah Pantai
Present,Nancy Shukri,Santubong
Present,Johari bin Abdul Ghani,Titiwangsa
Present,Hannah Yeoh,Segambut
Present,Zaliha binti Mustafa,Sekijang
Present,Hasbi bin Haji Habibollah,Limbang
Present,Chan Foong Hin,Kota Kinabalu
Present,Hanifah Hajar Taib,Mukah
Present,Mohammad Yusof bin Apdal,Lahad Datu
Present,Arthur Joseph Kurup,Pensiangan
Present,Raj Munni Binti Sabu,Sepang
Present,Huang Tiong Sii,Sarikei
Present,Mohamad Alamin,Kimanis
Present,Teo Nie Ching,Kulai
Present,Lim Hui Ying,Tanjong
Present,Adam Adli bin Abd Halim,Hang Tuah Jaya
Present,Mustapha Sakmud,Sepanggar
Present,Lukanisman bin Awang Sauni,Sibuti
Present,Wilson Ugak anak Kumbong,Hulu Rajang
Present,Noraini binti Ahmad,Parit Sulong
Present,M. Kulasegaran,Ipoh Barat
Present,Wong Kah Woh,Taiping
Present,Sh Mohmed Puzi bin Sh Ali,Pekan
Present,Aminolhuda bin Hassan,Sri Gading
Present,Zahir bin Hassan,Wangsa Maju
Present,Yuneswaran a/l Ramaraj,Segamat
Present,Jonathan bin Yasin,Ranau
Present,Matbali bin Musah,Sipitang
Present,Suhaimi bin Nasir,Libaran
Present,Shahelmey bin Yahya,Putatan
Present,Lee Chean Chung,Petaling Jaya
Present,Ganabatirau a/l Veraman,Klang
Present,Syahredzan bin Johan,Bangi
Present,Rodziah binti Ismail,Ampang
Present,Tan Kar Hing,Gopeng
Present,Manndzri bin Nasib,Tenggara
Present,Chow Yu Hui,Raub
Present,Tan Hong Pin,Bakri
Present,Mohd Isam bin Mohd Isa,Tampin
Present,Adnan bin Abu Hassan,Kuala Pilah
Present,Shamshulkahar bin Mohd Deli,Jempol
Present,Edwin anak Banta,Selangau
Present,Richard Rapu @ Aman anak Begri,Betong
Present,Andi Muhammad Suryady bin Bandy,Kalabakan
Present,Young Syefura binti Othman,Bentong
Present,Syerleena binti Abdul Rashid,Bukit Bendera
Present,Lo Su Fui,Tawau
Present,Azli bin Yusof,Shah Alam
Present,Jimmy Puah Wee Tse,Tebrau
Present,Onn bin Abu Bakar,Batu Pahat
Present,Mohamad Shafizan Haji Kepli,Batang Lupar
Present,Chong Zhemin,Kampar
Present,Lee Chuan How,Ipoh Timor
Present,Mohammed Taufiq bin Johari,Sungai Petani
Present,Wan Azizah binti Dr. Wan Ismail,Bandar Tun Razak
Present,Ismail Sabri bin Yaakob,Bera
Present,Lim Guan Eng,Bagan
Present,Mohd Shafie bin Haji Apdal,Semporna
Present,Wee Ka Siong,Ayer Hitam
Present,Richard Riot anak Jaem,Serian
Present,Teresa Kok Suh Sim,Seputeh
Present,Doris Sophia anak Brodi,Sri Aman
Present,Chow Kon Yeow,Batu Kawan
Present,Aminuddin bin Harun,Port Dickson
Present,Tan Kok Wai,Cheras
Present,Ramkarpal Singh a/l Karpal Singh,Bukit Gelugor
Present,Sivakumar a/l Varatharaju Naidu,Batu Gajah
Present,Bung Moktar bin Radin,Kinabatangan
Present,Mohd Shahar bin Abdullah,Paya Besar
Present,Fong Kui Lun,Bukit Bintang
Present,Jalaluddin bin Haji Alias,Jelebu
Present,Kelvin Yii Lee Wuen,Bandar Kuching
Present,Chong Chieng Jen,Stampin
Present,Larry Soon @ Larry Sng Wei Shien,Julau
Present,Madius Tangau,Tuaran
Present,Yeo Bee Yin,Puchong
Present,Isnaraissah Munirah binti Majilis,Kota Belud
Present,Muhammad Bakhtiar bin Wan Chik,Balik Pulau
Present,Hassan bin Abdul Karim,Pasir Gudang
Present,Wong Chen,Subang
Present,Wee Jeck Seng,Tanjung Piai
Present,William Leong Jee Keen,Selayang
Present,Gapari bin Katingan @ Geoffrey Kitingan,Keningau
Present,Willie anak Mongin,Puncak Borneo
Present,Ngeh Koo Ham,Beruas
Present,Wong Shu Qi,Kluang
Present,Vivian Wong Shir Yee,Sandakan
Present,Siti Aminah binti Aching,Beaufort
Present,Yusuf bin Abd Wahab,Tanjong Manis
Present,Hasni bin Mohammad,Simpang Renggam
Present,Oscar Ling Chai Yew,Sibu
Present,Mordi Bimol,Mas Gading
Present,Sim Tze Tzin,Bayan Baru
Present,Chiew Choon Man,Miri
Present,Kesavan a/l Subramaniam,Sungai Siput
Present,Sanisvara Nethaji Rayer a/l Rajaji,Jelutong
Present,Suhaizan bin Kaiat,Pulai
Present,Syed Ibrahim bin Syed Noh,Ledang
Present,Khoo Poay Tiong,Kota Melaka
Present,Pang Hok Liong,Labis
Present,Ahmad Johnie bin Zawawi,Igan
Present,Roy Angau Anak Gingkoi,Lubok Antu
Present,Cha Kee Chin,Rasah
Present,Riduan bin Rubin,Tenom
Present,Verdon bin Bahanda,Kudat
Present,Rodiyah binti Sapiee,Batang Sadong
Present,Wetrom bin Bahanda,Kota Marudu
Present,Shahidan bin Kassim,Arau
Present,Wan Ahmad Fayhsal bin Wan Ahmad Kamal,Machang
Present,Afnan Hamimi bin Dato' Haji Taib Azamudden,Alor Setar
Present,Ismail bin Haji Abd. Muttalib,Maran
Present,Wan Hassan bin Mohd Ramli,Dungun
Present,Mohd Suhaimi bin Abdullah,Langkawi
Present,Sabri bin Azit,Jerai
Present,Halimah Ali,Kapar
Present,Shaharizukirnain bin Abd Kadir,Setiu
Present,Kamal bin Ashaari,Kuala Krau
Present,Bakri bin Jamaluddin,Tangga Batu
Present,Siti Mastura binti Muhammad,Kepala Batas
Present,Azahari bin Hasan,Padang Rengas
Present,Abd Ghani bin Haji Ahmad,Jerlun
Present,Abdul Khalib bin Abdullah,Rompin
Present,Zakri bin Hassan,Kangar
Present,Rushdan bin Rusmi,Padang Besar
Present,Salamiah binti Mohd Nor,Temerloh
Present,Nordin bin Ahmad Ismail,Lumut
Present,Muhammad Ismi bin Mat Taib,Parit
Present,Kalam bin Salan,Sabak Bernam
Present,Wan Razali bin Wan Nor,Kuantan
Present,Jamaludin bin Yahya,Pasir Salak
Present,Syed Saddiq bin Syed Abdul Rahman,Muar
Present,Iskandar Dzulkarnain bin Abdul Khalid,Kuala Kangsar
Present,Syed Abu Hussin bin Hafiz Syed Abdul Fasal,Bukit Gantang
Present,Zulkafperi bin Hanapi,Tanjong Karang
Present,Mohd Azizi bin Abu Naim,Gua Musang
Present,Zahari bin Kechik,Jeli
Present,Suhaili bin Abdul Rahman,Labuan
Present,Idris bin Haji Ahmad,Bagan Serai
Present,Radzi Jidin,Putrajaya
Present,Ahmad Samsuri bin Mokhtar,Kemaman
Present,Saifuddin Abdullah,Indera Mahkota
Present,Ahmad bin Saad @ Yahaya,Pokok Sena
Present,Muslimin bin Yahaya,Sungai Besar
Present,Ahmad Marzuk bin Shaary,Pengkalan Chepa
Present,Siti Zailah binti Mohd. Yusoff,Rantau Panjang
Present,Khlir bin Mohd Nor,Ketereh
Present,Che Mohamad Zulkifly bin Jusoh,Besut
Present,Mumtaz binti Md Nawi,Tumpat
Present,Mohd Misbahul Munir bin Masduki,Parit Buntar
Present,Ahmad Yunus bin Hairi,Kuala Langat
Present,Zulkifli bin Ismail,Jasin
Present,Alias bin Razak,Kuala Nerus
Present,Ahmad Fakhruddin bin Fakhrurazi,Kuala Kedah
Present,Fathul Huzir bin Ayob,Gerik
Present,Nurul Amin bin Hamid,Padang Terap
Present,Roslan bin Hashim,Kulim Bandar Baharu
Present,Mahiaddin bin Mohd. Yassin,Pagoh
Present,Abdul Hadi bin Haji Awang,Marang
Present,Tuan Ibharim bin Tuan Man,Kubang Kerian
Present,Ronald Kiandee,Beluran
Present,Takiyuddin bin Hassan,Kota Bharu
Present,Mas Ermieyati binti Haji Samsudin,Masjid Tanah
Present,Mohd Syahir bin Che Sulaiman,Bachok
Present,Rosol bin Wahid,Hulu Terengganu
Present,Ali anak Biju,Saratok
Present,Ikmal Hisham bin Abdul Aziz,Tanah Merah
Present,Nik Muhammad Zawawi bin Haji Salleh,Pasir Puteh
Present,Ahmad Amzad bin Mohamed @Hashim,Kuala Terengganu
Present,Abdul Latiff bin Abdul Rahman,Kuala Krai
Present,Ahmad Tarmizi bin Sulaiman,Sik
Present,Ahmad Fadhli bin Shaari,Pasir Mas
Present,Mohd Nazri bin Abu Hassan,Merbok
Present,Ku Abd Rahman bin Ku Ismail,Kubang Pasu
Present,Muhammad Fawwaz bin Mohamad Jan,Permatang Pauh
Present,Azman bin Nasrudin,Padang Serai
Present,Mohd Hasnizan bin Harun,Hulu Selangor
Present,Khairil Nizam bin Khirudin,Jerantut
Present,Muhammad Islahuddin bin Abas,Mersing
Present,Hassan bin Saad,Baling
Absent,Anwar bin Ibrahim,Tambun
Absent,Ahmad Zahid bin Hamidi,Bagan Datuk
Absent,Fadillah bin Yusof,Petra Jaya
Absent,Loke Siew Fook,Seremban
Absent,Mohamad bin Sabu,Kota Raja
Absent,Mohamed Khaled bin Nordin,Kota Tinggi
Absent,Fadhlina binti Sidek,Nibong Tebal
Absent,Aaron Ago Dagang,Kanowit
Absent,Nga Kor Ming,Teluk Intan
Absent,Alexander Nanta Linggi,Kapit
Absent,Rubiah binti Haji Wang,Kota Samarahan
Absent,Khairul Firdaus bin Akbar Khan,Batu Sapi
Absent,Ramanan Ramakrishnan,Sungai Buloh
Absent,Hishammuddin bin Tun Hussein,Sembrong
Absent,Saravanan a/l Murugan,Tapah
Absent,Amirudin bin Shari,Gombak
Absent,Henry Sum Agong,Lawas
Absent,Anyi Ngau,Baram
Absent,Prabakaran a/l M. Parameswaran,Batu
Absent,Gobind Singh Deo,Damansara
Absent,Mohd Sany bin Hamzan,Hulu Langat
Absent,Lim Lip Eng,Kepong
Absent,Wan Saifulruddin bin Wan Jan,Tasek Gelugor
Absent,Hamzah bin Zainudin,Larut
Absent,Awang bin Hashim,Pendang
