Present,Anwar bin Ibrahim,Tambun
Present,Haji Fadillah bin Yusof,Petra Jaya
Present,Loke Siew Fook,Seremban
Present,Haji Mohamad bin Sabu,Kota Raja
Present,Chang Lih Kang,Tanjong Malim
Present,Nik Nazmi bin Nik Ahmad,Setiawangsa
Present,Azalina Othman Said,Pengerang
Present,Fadhlina binti Sidek,Nibong Tebal
Present,Aaron Ago Dagang,Kanowit
Present,Armizan bin Mohd Ali,Papar
Present,Sim Chee Keong,Bukit Mertajam
Present,Haji Ahmad bin Haji Maslan,Pontian
Present,Haji Akmal Nasrullah bin Haji Mohd Nasir,Johor Bahru
Present,Haji Adly bin Zahari,Alor Gajah
Present,Haji Abdul Rahman bin Mohamad,Lipis
Present,Dr. Shamsul Anuar bin Haji Nasarah,Lenggong
Present,Liew Chin Tong,Iskandar Puteri
Present,Dr. Ramli bin Dato' Mohd Nor,Cameron Highlands
Present,Alice Lau Kiong Yieng,Lanang
Present,Mohd Rafizi bin Ramli,Pandan
Present,Nga Kor Ming,Teluk Intan
Present,Utama Haji Mohamad bin Haji Hasan,Rembau
Present,Alexander Nanta Linggi,Kapit
Present,Ewon Benedick,Penampang
Present,Ahmad Fahmi bin Mohamed Fadzil,Lembah Pantai
Present,Hajah Nancy Shukri,Santubong
Present,Johari bin Abdul Ghani,Titiwangsa
Present,Gobind Singh Deo,Damansara
Present,Hannah Yeoh,Segambut
Present,Dr. Zaliha binti Mustafa,Sekijang
Present,Haji Hasbi bin Haji Habibollah,Limbang
Present,Chan Foong Hin,Kota Kinabalu
Present,Hajah Rubiah binti Haji Wang,Kota Samarahan
Present,Hajjah Hanifah Hajar Taib,Mukah
Present,Mohammad Yusof bin Apdal,Lahad Datu
Present,Arthur Joseph Kurup,Pensiangan
Present,Hajah Aiman Athirah binti Sabu,Sepang
Present,Huang Tiong Sii,Sarikei
Present,Mohamad Alamin,Kimanis
Present,Khairul Firdaus bin Akbar Khan,Batu Sapi
Present,Lim Hui Ying,Tanjong
Present,Adam Adli bin Abd Halim,Hang Tuah Jaya
Present,Mustapha Sakmud,Sepanggar
Present,Lukanisman bin Awang Sauni,Sibuti
Present,Wilson Ugak Anak Kumbong,Hulu Rajang
Present,Dr. Noraini binti Ahmad,Parit Sulong
Present,M. Kulasegaran,Ipoh Barat
Present,Ramanan Ramakrishnan,Sungai Buloh
Present,Wong Kah Woh,Taiping
Present,Mohmed Puzi bin Sh Ali,Pekan
Present,Haji Aminolhuda bin Hassan,Sri Gading
Present,Zahir bin Hassan,Wangsa Maju
Present,Yuneswaran a/l Ramaraj,Segamat
Present,Jonathan bin Yasin,Ranau
Present,Matbali bin Musah,Sipitang
Present,Lee Chean Chung,Petaling Jaya
Present,Ganabatirau a/l Veraman,Klang
Present,Syahredzan bin Johan,Bangi
Present,Rodziah binti Ismail,Ampang
Present,Haji Manndzri bin Haji Nasib,Tenggara
Present,Tan Kar Hing,Gopeng
Present,Chow Yu Hui,Raub
Present,Tan Hong Pin,Bakri
