Present,Anwar Ibrahim,Tambun
Present,Ahmad Zahid Hamidi,Bagan Datuk
Present,Fadillah Yusof,Petra Jaya
Present,Mohamad Sabu,Kota Raja
Present,Mohamed Khaled Nordin,Kota Tinggi
Present,Chang Lih Kang,Tanjong Malim
Present,Ewon Benedick,Penampang
Present,Azalina Othman Said,Pengerang
Present,Johari Abdul Ghani,Titiwangsa
Present,Gobind Singh Deo,Damansara
Present,Ahmad Maslan,Pontian
Present,Hasbi Habibollah,Limbang
Present,Chan Foong Hin,Kota Kinabalu
Present,Aiman Athirah Sabu,Sepang
Present,Abdul Rahman Mohamad,Lipis
Present,Shamsul Anuar Nasarah,Lenggong
Present,Liew Chin Tong,Iskandar Puteri
Present,Ramli Mohd Nor,Cameron Highlands
Present,Alice Lau Kiong Yieng,Lanang
Present,Nga Kor Ming,Teluk Intan
Present,Ahmad Fahmi Mohamed Fadzil,Lembah Pantai
Present,Aaron Ago Dagang,Kanowit
Present,Nancy Shukri,Santubong
Present,Dzulkefly Ahmad,Kuala Selangor
Present,Hannah Yeoh,Segambut
Present,Akmal Nasrullah Mohd Nasir,Johor Bahru
Present,Adly Zahari,Alor Gajah
Present,Rubiah Wang,Kota Samarahan
Present,Hanifah Hajar Taib,Mukah
Present,Mohammad Yusof Apdal,Lahad Datu
Present,Arthur Joseph Kurup,Pensiangan
Present,Huang Tiong Sii,Sarikei
Present,Teo Nie Ching,Kulai
Present,Adam Adli Abd Halim,Hang Tuah Jaya
Present,Lukanisman Awang Sauni,Sibuti
Present,Wilson Ugak Kumbong,Hulu Rajang
Present,Noraini Ahmad,Parit Sulong
Present,Kulasegaran,Ipoh Barat
Present,Ramanan Ramakrishnan,Sungai Buloh
Present,Wong Kah Woh,Taiping
Present,Mohmed Puzi Sh Ali,Pekan
Present,Aminolhuda Hassan,Sri Gading
Present,Yuneswaran Ramaraj,Segamat
Present,Jonathan Yasin,Ranau
Present,Lee Chean Chung,Petaling Jaya
Present,Ganabatirau Veraman,Klang
Present,Syahredzan Johan,Bangi
Present,Rodziah Ismail,Ampang
Present,Manndzri Nasib,Tenggara
Present,Tan Kar Hing,Gopeng
Present,Chow Yu Hui,Raub
Present,Tan Hong Pin,Bakri
Present,Mohd Isam Mohd Isa,Tampin
Present,Adnan Abu Hassan,Kuala Pilah
Present,Shamshulkahar Mohd Deli,Jempol
Present,Edwin Banta,Selangau
Present,Richard Rapu Aman Begri,Betong
Present,Young Syefura Othman,Bentong
Present,Syerleena Abdul Rashid,Bukit Bendera
Present,Roy Angau Gingkoi,Lubok Antu
Present,Chiew Choon Man,Miri
Present,Lo Su Fui,Tawau
Present,Mohd Sany Hamzan,Hulu Langat
Present,Azli Yusof,Shah Alam
Present,Jimmy Puah Wee Tse,Tebrau
Present,Onn Abu Bakar,Batu Pahat
Present,Mohamad Shafizan Haji Kepli,Batang Lupar
Present,Chong Zhemin,Kampar
Present,Lee Chuan How,Ipoh Timor
Present,Mohammed Taufiq Johari,Sungai Petani
Present,Wan Azizah Wan Ismail,Bandar Tun Razak
Present,Ismail Sabri Yaakob,Bera
Present,Lim Guan Eng,Bagan
Present,Saravanan Murugan,Tapah
Present,Teresa Kok Suh Sim,Seputeh
Present,Mohd Rafizi Ramli,Pandan
Present,Nik Nazmi Nik Ahmad,Setiawangsa
Present,Sivakumar Varatharaju Naidu,Batu Gajah
Present,Mohd Shahar Abdullah,Paya Besar
Present,Fong Kui Lun,Bukit Bintang
Present,Jalaluddin Alias,Jelebu
Present,Tan Kok Wai,Cheras
Present,Chong Chieng Jen,Stampin
Present,Madius Tangau,Tuaran
Present,Doris Sophia Brodi,Sri Aman
Present,Yeo Bee Yin,Puchong
Present,Isnaraissah Munirah Majilis,Kota Belud
Present,Hassan Abdul Karim,Pasir Gudang
Present,Wong Chen,Subang
Present,Wee Jeck Seng,Tanjung Piai
Present,Kelvin Yii Lee Wuen,Bandar Kuching
Present,Gapari Katingan Geoffrey Kitingan,Keningau
Present,Willie Mongin,Puncak Borneo
Present,Larry Soon Larry Sng Wei Shien,Julau
Present,Wong Shu Qi,Kluang
Present,Vivian Wong Shir Yee,Sandakan
Present,Siti Aminah Aching,Beaufort
Present,Yusuf Abd Wahab,Tanjong Manis
Present,Henry Sum Agong,Lawas
Present,Oscar Ling Chai Yew,Sibu
Present,Mordi Bimol,Mas Gading
Present,William Leong Jee Keen,Selayang
