Present,Fadillah Yusof,Petra Jaya
Present,Loke Siew Fook,Seremban
Present,Mohamad Sabu,Kota Raja
Present,Salahuddin Ayub,Pulai
Present,Mohamed Khaled Nordin,Kota Tinggi
Present,Chang Lih Kang,Tanjong Malim
Present,Armizan Mohd Ali,Papar
Present,Fadhlina Sidek,Nibong Tebal
Present,Ahmad Haji Maslan,Pontian
Present,Sim Chee Keong,Bukit Mertajam
Present,Hasbi Haji Habibollah,Limbang
Present,Chan Foong Hin,Kota Kinabalu
Present,Hanifah Hajar Taib,Mukah
Present,Abdul Rahman Mohamad,Lipis
Present,Shamsul Anuar Haji Nasarah,Lenggong
Present,Liew Chin Tong,Iskandar Puteri
Present,Mohammad Yusof Apdal,Lahad Datu
Present,Ramli Mohd Nor,Cameron Highlands
Present,Alice Lau Kiong Yieng,Lanang
Present,Nik Nazmi Nik Ahmad,Setiawangsa
Present,Ewon Benedick,Penampang
Present,Hannah Yeoh,Segambut
Present,Zaliha Mustafa,Sekijang
Present,Adly Zahari,Alor Gajah
Present,Rubiah Haji Wang,Kota Samarahan
Present,Siti Aminah Aching,Beaufort
Present,Arthur Joseph Kurup,Pensiangan
Present,Ramkarpal Singh Karpal Singh,Bukit Gelugor
Present,Aiman Athirah Sabu,Sepang
Present,Huang Tiong Sii,Sarikei
Present,Khairul Firdaus Akbar Khan,Batu Sapi
Present,Lim Hui Ying,Tanjong
Present,Adam Adli Abd Halim,Hang Tuah Jaya
Present,Mustapha Mohd Yunus Sakmud,Sepanggar
Present,Lukanisman Awang Sauni,Sibuti
Present,Wilson Ugak Kumbong,Hulu Rajang
Present,Zahir Hassan,Wangsa Maju
Present,Jonathan Yasin,Ranau
Present,Matbali Musah,Sipitang
Present,Suhaimi Nasir,Libaran
Present,Shahelmey Yahya,Putatan
Present,Mohmed Puzi Ali,Pekan
Present,Aminolhuda Hassan,Sri Gading
Present,Manndzri Nasib,Tenggara
Present,Tan Kar Hing,Gopeng
Present,Chow Yu Hui,Raub
Present,Tan Hong Pin,Bakri
Present,Andi Muhammad Suryady Bandy,Kalabakan
Present,Ramanan Ramakrishnan,Sungai Buloh
Present,Lee Chean Chung,Petaling Jaya
Present,Ganabatirau Veraman,Klang
Present,Syahredzan Johan,Bangi
Present,Rodziah Ismail,Ampang
Present,Mohd Sany Hamzan,Hulu Langat
Present,Azli Yusof,Shah Alam
Present,Jimmy Puah Wee Tse,Tebrau
Present,Onn Abu Bakar,Batu Pahat
Present,Mohd Isam Mohd Isa,Tampin
Present,Adnan Abu Hassan,Kuala Pilah
Present,Edwin Banta,Selangau
Present,Richard Rapu Aman Begri,Betong
Present,Young Syefura Othman,Bentong
Present,Syerleena Abdul Rashid,Bukit Bendera
Present,Lo Su Fui,Tawau
Present,Roy Angau Gingkoi,Lubok Antu
Present,Mohamad Shafizan Haji Kepli,Batang Lupar
Present,Chong Zhemin,Kampar
Present,Mohammed Taufiq Johari,Sungai Petani
Present,Doris Sophia Brodi,Sri Aman
Present,Riduan Rubin,Tenom
Present,Verdon Bahanda,Kudat
Present,Rodiyah Sapiee,Batang Sadong
Present,Wan Azizah Wan Ismail,Bandar Tun Razak
Present,Lim Guan Eng,Bagan
Present,Mohd Shafie Apdal,Semporna
Present,Wee Ka Siong,Ayer Hitam
Present,Hishammuddin Tun Hussein,Sembrong
Present,Syed Saddiq Syed Abdul Rahman,Muar
Present,Gobind Singh Deo,Damansara
Present,Teresa Kok Suh Sim,Seputeh
Present,Kulasegaran,Ipoh Barat
Present,Chow Kon Yeow,Batu Kawan
Present,Aminuddin Harun,Port Dickson
Present,Tan Kok Wai,Cheras
Present,Saravanan Murugan,Tapah
Present,Noraini Ahmad,Parit Sulong
Present,Johari Abdul Ghani,Titiwangsa
Present,Fong Kui Lun,Bukit Bintang
Present,Jalaluddin Alias,Jelebu
Present,Kelvin Yii Lee Wuen,Bandar Kuching
Present,Chong Chieng Jen,Stampin
Present,Larry Soon Larry Sng Wei Shien,Julau
Present,Dzulkefly Ahmad,Kuala Selangor
Present,Yeo Bee Yin,Puchong
Present,Isnaraissah Munirah Majilis,Kota Belud
Present,Muhammad Bakhtiar Wan Chik,Balik Pulau
Present,Hassan Abdul Karim,Pasir Gudang
Present,Wong Chen,Subang
Present,Madius Tangau,Tuaran
Present,William Leong Jee Keen,Selayang
Present,Gapari Katingan Geoffrey Kitingan,Keningau
Present,Willie Mongin,Puncak Borneo
Present,Ngeh Koo Ham,Beruas
Present,Wong Shu Qi,Kluang
Present,Vivian Wong Shir Yee,Sandakan
Present,Bung Moktar Radin,Kinabatangan
Present,Wee Jeck Seng,Tanjung Piai
Present,Mohd Shahar Abdullah,Paya Besar
Present,Hasni Mohammad,Simpang Renggam
Present,Oscar Ling Chai Yew,Sibu
Present,Mordi Bimol,Mas Gading
Present,Kesavan Subramaniam,Sungai Siput
Present,Lim Lip Eng,Kepong
Present,Sanisvara Nethaji Rayer Rajaji,Jelutong
Present,Wong Kah Woh,Taiping
Present,Syed Ibrahim Syed Noh,Ledang
Present,Yusuf Abd Wahab,Tanjong Manis
Present,Ahmad Johnie Zawawi,Igan
Present,Henry Sum Agong,Lawas
Present,Anyi Ngau,Baram
Present,Prabakaran Parameswaran,Batu
Present,Khoo Poay Tiong,Kota Melaka
Present,Pang Hok Liong,Labis
Present,Cha Kee Chin,Rasah
Present,Wetrom Bahanda,Kota Marudu
Present,Ahmad Fadhli Shaari,Pasir Mas
Present,Wan Ahmad Fayhsal Wan Ahmad Kamal,Machang
Present,Abdul Latiff Abdul Rahman,Kuala Krai
Present,Ismail Abd Muttalib,Maran
Present,Wan Hassan Mohd Ramli,Dungun
Present,Mohd Suhaimi Abdullah,Langkawi
Present,Sabri Azit,Jerai
Present,Syed Abu Hussin Hafiz Syed Abdul Fasal,Bukit Gantang
Present,Halimah Ali,Kapar
Present,Shaharizukirnain Abd Kadir,Setiu
Present,Kamal Ashaari,Kuala Krau
Present,Iskandar Dzulkarnain Abdul Khalid,Kuala Kangsar
Present,Bakri Jamaluddin,Tangga Batu
Present,Mohd Nazri Abu Hassan,Merbok
Present,Muhammad Fawwaz Mohamad Jan,Permatang Pauh
Present,Azahari Hasan,Padang Rengas
Present,Abd Ghani Haji Ahmad,Jerlun
Present,Abdul Khalib Abdullah,Rompin
Present,Zakri Hassan,Kangar
Present,Rushdan Rusmi,Padang Besar
Present,Mohd Azizi Abu Naim,Gua Musang
Present,Salamiah Mohd Nor,Temerloh
Present,Nordin Ahmad Ismail,Lumut
Present,Muhammad Ismi Mat Taib,Parit
Present,Kalam Salan,Sabak Bernam
Present,Wan Razali Wan Nor,Kuantan
Present,Jamaludin Yahya,Pasir Salak
Present,Fathul Huzir Ayob,Gerik
Present,Idris Haji Ahmad,Bagan Serai
Present,Radzi Jidin,Putrajaya
Present,Saifuddin Abdullah,Indera Mahkota
Present,Shahidan Kassim,Arau
Present,Ahmad Saad Yahaya,Pokok Sena
Present,Muslimin Yahaya,Sungai Besar
Present,Ahmad Marzuk Shaary,Pengkalan Chepa
Present,Siti Zailah Mohd Yusoff,Rantau Panjang
Present,Wan Saifulruddin Wan Jan,Tasek Gelugor
Present,Khlir Mohd Nor,Ketereh
Present,Che Mohamad Zulkifly Jusoh,Besut
Present,Mumtaz Md Nawi,Tumpat
Present,Mohd Misbahul Munir Masduki,Parit Buntar
Present,Ahmad Yunus Hairi,Kuala Langat
Present,Zulkifli Ismail,Jasin
Present,Alias Razak,Kuala Nerus
Present,Ahmad Fakhruddin Fakhrurazi,Kuala Kedah
Present,Zulkafperi Hanapi,Tanjong Karang
Present,Nurul Amin Hamid,Padang Terap
Present,Roslan Hashim,Kulim Bandar Baharu
Present,Hamzah Zainudin,Larut
Present,Mahiaddin Mohd Yassin,Pagoh
Present,Abdul Hadi Awang,Marang
Present,Ibharim Tuan Man,Kubang Kerian
